no,company,location,sector,part,career_url,ats
135,Knorr-Bremse,Munich,Mobility Tech,official,,
136,Daimler Truck,Leinfelden-Echterdingen,Commercial Vehicle Tech,official,,
137,Tesla Germany,Berlin-Brandenburg,EV / Manufacturing Tech,official,,
138,Rivian Germany,Munich,EV Software,official,,
139,Wayve Germany,Leonberg,Autonomous Driving,official,,
140,Aptiv Germany,Wuppertal / Munich,Automotive Software,official,,
141,HERE Technologies,Berlin,Maps / Location,official,,
142,TomTom Germany,Berlin,Maps / Location,official,,
143,Garmin Germany,Garching,Navigation Tech,official,,
144,TeamViewer,Göppingen,Remote Access SaaS,official,,
145,AnyDesk,Stuttgart,Remote Access SaaS,official,,
146,IONOS,Karlsruhe / Berlin,Cloud / Hosting,official,,
147,United Internet,Montabaur / Karlsruhe,Internet Services,official,,
148,1&1,Montabaur / Karlsruhe,Telecom / Internet,official,,
149,IONITY,Munich,EV Charging,official,,
150,ChargePoint Germany,Munich / Berlin,EV Charging,official,,
151,E.ON,Essen / Berlin / Munich,Energy Tech,official,,
152,RWE,Essen,Energy Tech,official,,
153,EnBW,Karlsruhe / Stuttgart,Energy Tech,official,,
154,Vattenfall Germany,Berlin / Hamburg,Energy Tech,official,,
155,Uniper,Düsseldorf,Energy Tech,official,,
156,50Hertz,Berlin,Grid Tech,official,,
157,TenneT Germany,Bayreuth / Hanover,Grid Tech,official,,
158,Amprion,Dortmund,Grid Tech,official,,
159,LEAG,Cottbus,Energy / Digital,official,,
160,BASF,Ludwigshafen,Chemical / Digital,official,,
161,Bayer,Leverkusen / Berlin,Life Science / Digital,official,,
162,Merck KGaA,Darmstadt,Science / Digital,official,,
163,Boehringer Ingelheim,Ingelheim,Pharma / Digital,official,,
164,BioNTech,Mainz,Biotech / Data,official,,
165,Qiagen,Hilden,Biotech / Software,official,,
166,Sartorius,Göttingen,Life Science Tech,official,,
167,Fresenius,Bad Homburg,Healthcare / Digital,official,,
168,Fresenius Medical Care,Bad Homburg,MedTech / Digital,official,,
169,Carl Zeiss,Oberkochen / Jena,Optics / Software,official,,
170,Dräger,Lübeck,MedTech / Embedded,official,,
171,Ottobock,Duderstadt / Berlin,MedTech,official,,
172,Brainlab,Munich,MedTech Software,official,,
173,CompuGroup Medical,Koblenz,HealthTech,official,,
174,Doctolib Germany,Berlin,HealthTech,official,,
175,Ada Health,Berlin,Health AI,official,,
176,Mimi Hearing Technologies,Berlin,HealthTech,official,,
177,Kaia Health,Munich,Digital Health,official,,
178,Temedica,Munich,Digital Health,official,,
179,ProSiebenSat.1,Munich,Media Tech,official,,
180,Sky Deutschland,Munich,Media Tech,official,,
181,Axel Springer,Berlin / Hamburg,Media Tech,official,,
182,ZEIT Verlagsgruppe,Hamburg,Media / Digital,official,,
183,Der Spiegel,Hamburg,Media / Digital,official,,
184,Gruner + Jahr / RTL,Hamburg,Media Tech,official,,
185,Hubert Burda Media,Munich,Media Tech,official,,
186,Scout24,Munich / Berlin,Marketplace Tech,official,,
187,ImmobilienScout24,Berlin,PropTech,official,,
188,ImmoScout24,Berlin,PropTech,official,,
189,McMakler,Berlin,PropTech,official,,
190,Homeday,Berlin,PropTech,official,,
191,Spryker,Berlin / Hamburg,Commerce SaaS,official,,
192,commercetools,Munich / Berlin,Commerce SaaS,official,,
193,Shopify Germany,Remote Germany,Commerce SaaS,official,,
194,eBay Germany,Berlin / Kleinmachnow,Marketplace Tech,official,,
195,Kleinanzeigen,Berlin,Marketplace Tech,official,,
196,Idealo,Berlin,Comparison Tech,official,,
197,CHECK24,Munich / Hamburg / Cologne,Comparison Tech,official,,
198,Verivox,Heidelberg / Berlin,Comparison Tech,official,,
199,HomeToGo,Berlin,TravelTech,official,,
200,Tourlane,Berlin,TravelTech,official,,
201,trivago,Düsseldorf,TravelTech,official,,
202,Booking.com Germany,Berlin / Munich,TravelTech,official,,
203,Expedia Group Germany,Berlin / Munich,TravelTech,official,,
204,Lufthansa Group,Frankfurt / Hamburg,Aviation Tech,official,,
205,Lufthansa Innovation Hub,Berlin,TravelTech,official,,
206,Deutsche Bahn,Berlin / Frankfurt,Mobility Tech,official,,
207,DB Systel,Frankfurt / Berlin,Rail IT,official,,
208,SIXT,Munich,Mobility Tech,official,,
209,Miles & More,Frankfurt,Loyalty Tech,official,,
210,Fraport,Frankfurt,Airport Tech,official,,
211,Munich Airport,Munich,Airport Tech,official,,
212,Deutsche Bank,Frankfurt / Berlin,Banking Tech,official,,
213,Commerzbank,Frankfurt,Banking Tech,official,,
214,ING Germany,Frankfurt / Nuremberg,Banking Tech,official,,
215,KfW,Frankfurt,Banking / Digital,official,,
216,DZ Bank,Frankfurt,Banking Tech,official,,
217,DekaBank,Frankfurt,Banking Tech,official,,
218,Deutsche Börse,Frankfurt,FinTech / Markets,official,,
219,Allianz,Munich,Insurance Tech,official,,
220,Allianz Technology,Munich,Insurance IT,official,,
221,Munich Re,Munich,Insurance / Data,official,,
222,Hannover Re,Hanover,Insurance Tech,official,,
223,Talanx,Hanover,Insurance Tech,official,,
224,ERGO Group,Düsseldorf,Insurance Tech,official,,
225,HUK-COBURG,Coburg,Insurance Tech,official,,
226,LBBW,Stuttgart,Banking Tech,official,,
227,NORD/LB,Hanover,Banking Tech,official,,
228,DATEV,Nuremberg,Business Software,official,,
229,SUSE,Nuremberg / Remote,Open Source,official,,
230,Semikron Danfoss,Nuremberg,Power Electronics,official,,
231,adidas,Herzogenaurach,Retail / Digital,official,,
232,PUMA,Herzogenaurach,Retail / Digital,official,,
233,Zalando Lounge,Berlin,E-commerce Tech,official,,
234,Douglas,Düsseldorf,Retail Tech,official,,
235,C&A,Düsseldorf,Retail / Digital,official,,
236,Metro AG,Düsseldorf,Wholesale Tech,official,,
237,Henkel,Düsseldorf,Consumer / Digital,official,,
238,Vorwerk,Wuppertal,Consumer / Digital,official,,
239,Miele,Gütersloh,Consumer / IoT,official,,
240,BSH Hausgeräte,Munich,Consumer / IoT,official,,
241,Lidl Digital,Neckarsulm / Berlin,Retail Tech,official,,
242,Schwarz IT,Neckarsulm,Retail IT,official,,
243,Kaufland e-commerce,Cologne / Berlin,E-commerce Tech,official,,
244,dmTECH,Karlsruhe,Retail Tech,official,,
245,Rossmann IT,Burgwedel,Retail Tech,official,,
246,Hornbach,Bornheim,Retail Tech,official,,
247,MediaMarktSaturn,Ingolstadt / Munich,Retail Tech,official,,
248,Ceconomy,Düsseldorf,Retail Tech,official,,
249,Würth,Künzelsau,B2B / Digital,official,,
250,Festo,Esslingen,Industrial Automation,official,,
251,Kuehne+Nagel Germany,Hamburg,"Travel, Mobility & Logistics Tech",research_lead,,
252,Airbus Germany,Hamburg / Munich,"Automotive, Industrial, Robotics & Semiconductors",research_lead,,
253,GitLab,Germany / remote,Big Tech & Global Technology,research_lead,,
254,Datadog,Berlin / remote,Big Tech & Global Technology,research_lead,,
255,Snowflake,Berlin / Munich,Big Tech & Global Technology,research_lead,,
256,MongoDB,Berlin / remote,Big Tech & Global Technology,research_lead,,
257,Elastic,Germany / remote,Big Tech & Global Technology,research_lead,,
258,Red Hat,multiple,Big Tech & Global Technology,research_lead,,
259,Grafana Labs,Germany / remote,German SaaS & Enterprise Software,research_lead,,
260,Cloudflare,Germany / remote,Big Tech & Global Technology,research_lead,,
261,Amazon,Berlin / Munich / multiple,Big Tech & Global Technology,research_lead,,
262,Google,Munich / Berlin / Hamburg,Big Tech & Global Technology,research_lead,,
263,Microsoft,Munich / Berlin,Big Tech & Global Technology,research_lead,,
264,Apple,Munich,Big Tech & Global Technology,research_lead,,
265,Meta,Berlin / Hamburg / remote,Big Tech & Global Technology,research_lead,,
266,IBM,multiple,Big Tech & Global Technology,research_lead,,
267,Oracle,multiple,Big Tech & Global Technology,research_lead,,
268,Salesforce,Munich / Berlin,Big Tech & Global Technology,research_lead,,
269,ServiceNow,Frankfurt / Munich,Big Tech & Global Technology,research_lead,,
270,Workday,Munich,Big Tech & Global Technology,research_lead,,
271,Atlassian,Germany / remote,Big Tech & Global Technology,research_lead,,
272,JetBrains,Munich,Big Tech & Global Technology,research_lead,,
273,UiPath,Munich,Big Tech & Global Technology,research_lead,,
274,Palantir,Munich,Big Tech & Global Technology,research_lead,,
275,OpenAI,Munich,Big Tech & Global Technology,research_lead,,
276,NVIDIA,Munich / Berlin,Big Tech & Global Technology,research_lead,,
277,Intel,Munich,Big Tech & Global Technology,research_lead,,
278,Qualcomm,Munich / Berlin,Big Tech & Global Technology,research_lead,,
279,Vattenfall,Berlin / Hamburg,"Telecom, Public Infrastructure & Research",research_lead,,
280,Deutsche Börse Group,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,
281,Cisco,multiple,Big Tech & Global Technology,research_lead,,
282,Samsung Electronics,multiple,Big Tech & Global Technology,research_lead,,
283,Huawei,Munich / Düsseldorf / Nuremberg,Big Tech & Global Technology,research_lead,,
284,Adobe,Hamburg / Munich,Big Tech & Global Technology,research_lead,,
285,Dell Technologies,multiple,Big Tech & Global Technology,research_lead,,
286,Hewlett Packard Enterprise,multiple,Big Tech & Global Technology,research_lead,,
287,Dropbox,Hamburg / remote,Big Tech & Global Technology,research_lead,,
288,Twilio,Germany / remote,Big Tech & Global Technology,research_lead,,
289,Stripe,Berlin / remote,Big Tech & Global Technology,research_lead,,
290,Anthropic,Munich,Big Tech & Global Technology,research_lead,,
291,Databricks,Munich / Berlin,Big Tech & Global Technology,research_lead,,
292,Zoom,Germany / remote,Big Tech & Global Technology,research_lead,,
293,VMware by Broadcom,Germany,Big Tech & Global Technology,research_lead,,
294,Akamai,Munich / remote,Big Tech & Global Technology,research_lead,,
295,Staffbase,Chemnitz / Berlin,German SaaS & Enterprise Software,research_lead,,
296,Miro,Berlin,German SaaS & Enterprise Software,research_lead,,
297,Mendix,Frankfurt / multiple,German SaaS & Enterprise Software,research_lead,,
298,Signavio,Berlin,German SaaS & Enterprise Software,research_lead,,
299,Contentstack,Germany / remote,German SaaS & Enterprise Software,research_lead,,
300,Camunda,Berlin / remote,German SaaS & Enterprise Software,research_lead,,
301,Hygraph,Berlin,German SaaS & Enterprise Software,research_lead,,
302,Masterplan,Berlin,German SaaS & Enterprise Software,research_lead,,
303,Pitch,Berlin,German SaaS & Enterprise Software,research_lead,,
304,Zenjob,Berlin,German SaaS & Enterprise Software,research_lead,,
305,Choco,Berlin,German SaaS & Enterprise Software,research_lead,,
306,Honeypot,Berlin,German SaaS & Enterprise Software,research_lead,,
307,Talon.One,Berlin,German SaaS & Enterprise Software,research_lead,,
308,Parloa,Berlin,German SaaS & Enterprise Software,research_lead,,
309,N8N,Berlin / remote,German SaaS & Enterprise Software,research_lead,,
310,Aiven,Berlin / remote,German SaaS & Enterprise Software,research_lead,,
311,Software AG,Darmstadt,German SaaS & Enterprise Software,research_lead,,
312,USU Software,Möglingen / multiple,German SaaS & Enterprise Software,research_lead,,
313,Canto,Berlin,German SaaS & Enterprise Software,research_lead,,
314,Productsup,Berlin,German SaaS & Enterprise Software,research_lead,,
315,Remerge,Berlin,German SaaS & Enterprise Software,research_lead,,
316,Keboola,Berlin / remote,German SaaS & Enterprise Software,research_lead,,
317,Deutsche Telekom IT,Bonn / multiple,German SaaS & Enterprise Software,research_lead,,
318,T-Systems,multiple,German SaaS & Enterprise Software,research_lead,,
319,msg systems,multiple,German SaaS & Enterprise Software,research_lead,,
320,Materna,Dortmund / multiple,German SaaS & Enterprise Software,research_lead,,
321,adesso,multiple,German SaaS & Enterprise Software,research_lead,,
322,GFT Technologies,Stuttgart / multiple,German SaaS & Enterprise Software,research_lead,,
323,Etsy,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
324,Wayfair,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
325,Westwing,Munich,"E-commerce, Marketplace & Consumer Tech",research_lead,,
326,Home24,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
327,Breuninger,Stuttgart,"E-commerce, Marketplace & Consumer Tech",research_lead,,
328,Flaconi,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
329,Mister Spex,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
330,Fashionette,Düsseldorf,"E-commerce, Marketplace & Consumer Tech",research_lead,,
331,Chrono24,Karlsruhe / Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
332,mobile.de,Berlin / Kleinmachnow,"E-commerce, Marketplace & Consumer Tech",research_lead,,
333,Momox,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
334,rebuy,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
335,Grover,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
336,Back Market,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
337,rebell,Hamburg,"E-commerce, Marketplace & Consumer Tech",research_lead,,
338,KoRo,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
339,Foodspring,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
340,Flink,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
341,Picnic,Düsseldorf / multiple,"E-commerce, Marketplace & Consumer Tech",research_lead,,
342,Wolt Germany,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
343,Uber,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
344,Bolt,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
345,Getir Germany,Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
346,Zooplus,Munich,"E-commerce, Marketplace & Consumer Tech",research_lead,,
347,DocMorris,Berlin / Aachen,"E-commerce, Marketplace & Consumer Tech",research_lead,,
348,Shop Apotheke / Redcare Pharmacy,Cologne / remote,"E-commerce, Marketplace & Consumer Tech",research_lead,,
349,Thalia,Hagen / Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
350,Spread Group,Leipzig,"E-commerce, Marketplace & Consumer Tech",research_lead,,
351,Mymuesli,Passau / Berlin,"E-commerce, Marketplace & Consumer Tech",research_lead,,
352,Scalable Capital,Munich / Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
353,Moss,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
354,Penta,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
355,Qonto Germany,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
356,Mollie,Munich / Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
357,Klarna Germany,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
358,Adyen Germany,Berlin / Munich,"FinTech, Banking & Insurance Tech",research_lead,,
359,PayPal Germany,Berlin / Dreilinden,"FinTech, Banking & Insurance Tech",research_lead,,
360,Stripe Germany,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
361,Wise,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
362,Revolut Germany,Berlin / remote,"FinTech, Banking & Insurance Tech",research_lead,,
363,Moonfare,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
364,Upvest,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
365,Finleap,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
366,Getsafe,Heidelberg / Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
367,Friday,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
368,Element Insurance,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
369,Hepster,Rostock / Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
370,ERGO Technology & Services,Düsseldorf,"FinTech, Banking & Insurance Tech",research_lead,,
371,DKB,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
372,N26 Bank,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
373,Euronext Germany,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,
374,Baader Bank,Munich,"FinTech, Banking & Insurance Tech",research_lead,,
375,DWS Group,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,
376,BlackRock Germany,Frankfurt / Munich,"FinTech, Banking & Insurance Tech",research_lead,,
377,Goldman Sachs Germany,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,
378,JPMorgan Germany,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,
379,Morgan Stanley Germany,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,
380,Citi Germany,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,
381,Avaloq,Berlin,"FinTech, Banking & Insurance Tech",research_lead,,
382,Worldline Germany,Frankfurt / Aachen,"FinTech, Banking & Insurance Tech",research_lead,,
383,Nexi Germany,Eschborn,"FinTech, Banking & Insurance Tech",research_lead,,
384,Sunday,Hamburg,"AdTech, Gaming, Media & Entertainment",research_lead,,
385,justDice,Hamburg,"AdTech, Gaming, Media & Entertainment",research_lead,,
386,Adjust,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
387,Smaato,Hamburg,"AdTech, Gaming, Media & Entertainment",research_lead,,
388,Kayzen,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
389,YOC,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
390,PubMatic Germany,Hamburg / Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
391,Criteo Germany,Munich,"AdTech, Gaming, Media & Entertainment",research_lead,,
392,The Trade Desk Germany,Hamburg / Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
393,Magnite Germany,Hamburg,"AdTech, Gaming, Media & Entertainment",research_lead,,
394,Taboola Germany,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
395,Outbrain Germany,Munich,"AdTech, Gaming, Media & Entertainment",research_lead,,
396,AppLovin Germany,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
397,Unity Technologies Germany,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
398,King,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
399,Riot Games Germany,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
400,Ubisoft Germany,Düsseldorf / Mainz / Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
401,Crytek,Frankfurt,"AdTech, Gaming, Media & Entertainment",research_lead,,
402,GameDuell,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
403,YAGER,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
404,Travian Games,Munich,"AdTech, Gaming, Media & Entertainment",research_lead,,
405,HandyGames,Giebelstadt,"AdTech, Gaming, Media & Entertainment",research_lead,,
406,Deep Silver,Munich,"AdTech, Gaming, Media & Entertainment",research_lead,,
407,Keen Games,Frankfurt,"AdTech, Gaming, Media & Entertainment",research_lead,,
408,Remote Control Productions,Munich,"AdTech, Gaming, Media & Entertainment",research_lead,,
409,Spotify Germany,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
410,Deezer Germany,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
411,Universal Music Germany,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
412,Bertelsmann Tech,Gütersloh / Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
413,RTL Technology,Cologne,"AdTech, Gaming, Media & Entertainment",research_lead,,
414,ProSiebenSat.1 Tech,Munich,"AdTech, Gaming, Media & Entertainment",research_lead,,
415,Axel Springer Tech,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
416,Ringier Axel Springer,Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
417,ZEIT Online,Hamburg / Berlin,"AdTech, Gaming, Media & Entertainment",research_lead,,
418,DER SPIEGEL Tech,Hamburg,"AdTech, Gaming, Media & Entertainment",research_lead,,
419,Hubert Burda Media Tech,Munich,"AdTech, Gaming, Media & Entertainment",research_lead,,
420,Funke Digital,Berlin / Essen,"AdTech, Gaming, Media & Entertainment",research_lead,,
421,Holidu,Munich,"Travel, Mobility & Logistics Tech",research_lead,,
422,Skyscanner Germany,Berlin,"Travel, Mobility & Logistics Tech",research_lead,,
423,Lufthansa Group Digital,Frankfurt / Berlin / Hamburg,"Travel, Mobility & Logistics Tech",research_lead,,
424,Eurowings Digital,Cologne,"Travel, Mobility & Logistics Tech",research_lead,,
425,TUI Tech,Hanover / Berlin,"Travel, Mobility & Logistics Tech",research_lead,,
426,Voi Germany,Berlin,"Travel, Mobility & Logistics Tech",research_lead,,
427,Finn,Munich,"Travel, Mobility & Logistics Tech",research_lead,,
