no,company,location,sector,part,career_url,ats
61,Ubisoft Berlin,Berlin,Gaming,official,,needs_review
62,Helsing,Berlin / Munich,Defence AI,official,https://www.helsing.com/careers/,generic
63,Enpal,Berlin,ClimateTech,official,https://www.jobs.enpal.com/,generic
64,1KOMMA5°,Hamburg / Berlin,ClimateTech,official,https://1komma5.com/de/,needs_review
65,Zolar,Berlin,ClimateTech,official,https://zolar.com/,needs_review
66,Thermondo,Berlin,ClimateTech,official,https://www.thermondo.de/unternehmen/jobs/,generic
67,TIER Mobility,Berlin,Mobility,official,,needs_review
68,Vay,Berlin / Hamburg,Mobility,official,https://vay.de/,needs_review
69,Miles Mobility,Berlin,Mobility,official,https://www.hugedomains.com/domain_profile.cfm?d=milesmobility.com/careers,generic
70,AUTO1 Group,Berlin,Automotive Tech,official,https://www.auto1-group.com/jobs/,generic
71,HeyJobs,Berlin,HR Tech,official,https://andrewmelcher.com/,needs_review
72,StepStone,Düsseldorf / Berlin,HR Tech,official,,needs_review
73,ResearchGate,Berlin,Research SaaS,official,,needs_review
74,Komoot,Potsdam / Remote,Outdoor Tech,official,https://www.komoot.com/,needs_review
75,Ecosia,Berlin,Search / Climate,official,https://www.ecosia.org:443/about/careers/,generic
76,Mozilla Germany,Berlin,Internet Software,official,https://www.firefox.com/,needs_review
77,GitLab Germany,Remote Germany,DevTools,official,https://about.gitlab.com/jobs/,generic
78,GitHub Germany,Remote Germany,DevTools,official,https://www.github.careers/careers-home,generic
79,Datadog Germany,Berlin / Munich,Cloud Monitoring,official,https://careers.datadoghq.com,generic
80,Snowflake Germany,Berlin / Munich,Cloud Data,official,https://www.snowflake.com/en/,needs_review
81,MongoDB Germany,Berlin / Munich,Database,official,https://www.mongodb.com/company/careers,generic
82,Elastic Germany,Berlin / Remote,Search / Cloud,official,https://www.elastic.com/,needs_review
83,Confluent Germany,Remote / Munich,Data Streaming,official,https://www.confluent.io/de-de/,needs_review
84,HashiCorp Germany,Remote Germany,Cloud Infrastructure,official,,needs_review
85,Red Hat Germany,Munich / Remote,Enterprise Software,official,https://www.redhat.com/en/jobs,generic
86,Canonical Germany,Remote Germany,Open Source,official,,needs_review
87,Grafana Labs Germany,Remote Germany,Observability,official,https://grafana.com/careers/,generic
88,Cloudflare Germany,Munich / Remote,Cloud / Security,official,https://www.cloudflare.com/careers/,generic
89,Fastly Germany,Remote Germany,Edge Cloud,official,https://www.fastly.com/about/careers,generic
90,Amazon Germany,Berlin / Munich / Dresden,Cloud / E-commerce,official,https://amazon.jobs/en/,generic
91,AWS Germany,Berlin / Munich / Frankfurt,Cloud,official,https://aws.amazon.com/careers/,generic
92,Google Germany,Munich / Berlin / Hamburg,Big Tech,official,https://www.google.com/about/careers/applications/,generic
93,Microsoft Germany,Munich / Berlin / Hamburg,Big Tech / Cloud,official,https://www.microsoft.com/en-us,needs_review
94,Apple Germany,Munich / Berlin,Consumer Tech,official,https://www.apple.com/careers/us/,generic
95,Meta Germany,Berlin / Hamburg,Big Tech,official,https://www.meta.de/de/stellenangebote,generic
96,IBM Germany,Multiple cities,Enterprise Tech,official,https://www.ibm.com/careers,generic
97,Oracle Germany,Multiple cities,Enterprise Software,official,,needs_review
98,SAP,Walldorf / Berlin / Munich,Enterprise Software,official,,needs_review
99,Salesforce Germany,Munich / Berlin / Frankfurt,Enterprise SaaS,official,https://www.salesforce.com/?bc=DB/careers,generic
100,ServiceNow Germany,Munich / Frankfurt,Enterprise SaaS,official,,needs_review
101,Workday Germany,Munich,Enterprise SaaS,official,https://www.workday.com/en-us/company/careers/overview.html,generic
102,Atlassian Germany,Remote / Berlin,DevTools,official,https://www.atlassian.com/company/careers,generic
103,JetBrains Germany,Munich / Berlin,DevTools,official,https://www.jetbrains.com/careers/,generic
104,Celonis,Munich,Process Mining,official,https://careers.celonis.com,generic
105,UiPath Germany,Munich,Automation,official,https://www.uipath.com/careers,generic
106,Palantir Germany,Munich,Data / AI,official,https://www.palantir.com/careers,generic
107,OpenAI Germany,Munich,AI,official,https://openai.com/careers/,generic
108,NVIDIA Germany,Munich / Berlin,AI / Semiconductors,official,https://www.nvidia.com/en-us/,needs_review
109,Intel Germany,Munich / Karlsruhe,Semiconductors,official,https://www.intel.com/content/www/us/en/homepage.html,needs_review
110,AMD Germany,Munich,Semiconductors,official,https://amd.de/careers,generic
111,Qualcomm Germany,Munich / Berlin,Semiconductors,official,https://www.qualcomm.com/company/careers,generic
112,Arm Germany,Munich,Semiconductors,official,https://www.arm.com/en/careers,generic
113,Infineon,Munich / Dresden,Semiconductors,official,https://www.infineon.com/careers,generic
114,Bosch,Stuttgart / Multiple,Industrial / IoT,official,https://www.bosch.com/careers/,generic
115,Bosch Digital,Stuttgart / Berlin,Enterprise Digital,official,https://www.bosch.com/careers/,generic
116,Siemens,Munich / Erlangen / Berlin,Industrial Tech,official,https://www.siemens.com/en-us/company/jobs/,generic
117,Siemens Energy,Munich / Berlin / Erlangen,Energy Tech,official,https://www.siemens-energy.com/global/en/home.html,needs_review
118,Siemens Healthineers,Erlangen / Munich,HealthTech,official,https://www.siemens-healthineers.com/careers,generic
119,BMW Group,Munich,Automotive Software,official,,needs_review
120,Mercedes-Benz,Stuttgart,Automotive Software,official,,needs_review
121,Mercedes-Benz Tech Innovation,Stuttgart / Berlin,Automotive Software,official,,needs_review
122,Porsche,Stuttgart,Automotive Software,official,https://www.porsche.com/usa/?cs_redirect=1/careers,generic
123,Porsche Digital,Stuttgart / Berlin,Automotive Digital,official,https://www.porsche.com/usa/?cs_redirect=1/careers,generic
124,Volkswagen Group,Wolfsburg / Berlin,Automotive Software,official,https://www.volkswagen.de/de.html/careers,generic
125,CARIAD,Wolfsburg / Berlin / Munich,Automotive Software,official,https://cariad.com/careers,generic
126,Audi,Ingolstadt / Munich,Automotive Software,official,https://www.audi.com/en/careers-at-audidriven-by-tech-driven-by-people-17124,generic
127,MAN Truck & Bus,Munich,Automotive / Embedded,official,,needs_review
128,TRATON,Munich,Commercial Vehicle Tech,official,https://traton.com/en.html,needs_review
129,Continental,Hanover / Frankfurt,Automotive Tech,official,https://www.continental.com/en/career/,generic
130,ZF,Friedrichshafen,Automotive Tech,official,https://www.zf.com/mobile/en/homepage/homepage.html,needs_review
131,Schaeffler,Herzogenaurach,Industrial / Automotive,official,,needs_review
132,MAHLE,Stuttgart,Automotive Tech,official,https://www.mahle.com/,needs_review
133,Brose,Coburg / Bamberg,Automotive Tech,official,,needs_review
134,Webasto,Stockdorf,Automotive Tech,official,https://www.webasto.com/en-int.html/careers.html,generic
135,Knorr-Bremse,Munich,Mobility Tech,official,,needs_review
136,Daimler Truck,Leinfelden-Echterdingen,Commercial Vehicle Tech,official,https://www.daimlertruck.com/en/career,generic
137,Tesla Germany,Berlin-Brandenburg,EV / Manufacturing Tech,official,https://tesla.de/,needs_review
138,Rivian Germany,Munich,EV Software,official,https://careers.rivian.com/careers-home/,generic
139,Wayve Germany,Leonberg,Autonomous Driving,official,,needs_review
140,Aptiv Germany,Wuppertal / Munich,Automotive Software,official,https://www.aptiv.com/en/jobs,generic
141,HERE Technologies,Berlin,Maps / Location,official,https://www.here.com:443/about/careers,generic
142,TomTom Germany,Berlin,Maps / Location,official,https://www.tomtom.com/careers/,generic
143,Garmin Germany,Garching,Navigation Tech,official,https://www.garmin.com/en-US/careers/,generic
144,TeamViewer,Göppingen,Remote Access SaaS,official,https://www.teamviewer.com/en-us/,needs_review
145,AnyDesk,Stuttgart,Remote Access SaaS,official,,needs_review
146,IONOS,Karlsruhe / Berlin,Cloud / Hosting,official,https://www.ionos.com/,needs_review
147,United Internet,Montabaur / Karlsruhe,Internet Services,official,https://www.united-internet.de/,needs_review
148,1&1,Montabaur / Karlsruhe,Telecom / Internet,official,https://www.onebullex.com/careers,generic
149,IONITY,Munich,EV Charging,official,,needs_review
150,ChargePoint Germany,Munich / Berlin,EV Charging,official,https://www.chargepoint.com/about/opportunities,generic
151,E.ON,Essen / Berlin / Munich,Energy Tech,official,,needs_review
152,RWE,Essen,Energy Tech,official,https://www.rwe.com/en/rwe-careers-portal/,generic
153,EnBW,Karlsruhe / Stuttgart,Energy Tech,official,https://www.enbw.com/career/,generic
154,Vattenfall Germany,Berlin / Hamburg,Energy Tech,official,https://careers.vattenfall.com:443/global/?utm_source=corporate&utm_medium=referral,generic
155,Uniper,Düsseldorf,Energy Tech,official,,needs_review
156,50Hertz,Berlin,Grid Tech,official,https://wartung.50hertz.com/Error,generic
157,TenneT Germany,Bayreuth / Hanover,Grid Tech,official,,needs_review
158,Amprion,Dortmund,Grid Tech,official,,needs_review
159,LEAG,Cottbus,Energy / Digital,official,https://www.leag.de/de/karriere/,generic
160,BASF,Ludwigshafen,Chemical / Digital,official,https://www.basf.com/us/en/careers,generic
161,Bayer,Leverkusen / Berlin,Life Science / Digital,official,,needs_review
162,Merck KGaA,Darmstadt,Science / Digital,official,,needs_review
163,Boehringer Ingelheim,Ingelheim,Pharma / Digital,official,https://www.boehringer-ingelheim.com/careers,generic
164,BioNTech,Mainz,Biotech / Data,official,https://www.biontech.com/us/en/home.html,needs_review
165,Qiagen,Hilden,Biotech / Software,official,https://www.qiagen.com/us/careers,generic
166,Sartorius,Göttingen,Life Science Tech,official,https://www.sartorius.com/en/company/careers,generic
167,Fresenius,Bad Homburg,Healthcare / Digital,official,https://www.fresenius.com/Careers,generic
168,Fresenius Medical Care,Bad Homburg,MedTech / Digital,official,https://jobs.freseniusmedicalcare.com/,generic
169,Carl Zeiss,Oberkochen / Jena,Optics / Software,official,https://carl-zeiss.com/careers,generic
170,Dräger,Lübeck,MedTech / Embedded,official,,needs_review
171,Ottobock,Duderstadt / Berlin,MedTech,official,https://www.ottobock.com/de-de/startseite,needs_review
172,Brainlab,Munich,MedTech Software,official,https://www.brainlab.com/career/,generic
173,CompuGroup Medical,Koblenz,HealthTech,official,https://www.cgm.com/corp_en,needs_review
174,Doctolib Germany,Berlin,HealthTech,official,https://www.doctolib.fr/,needs_review
175,Ada Health,Berlin,Health AI,official,https://ada.com/?mtm_source=adahealth-de/careers,generic
176,Mimi Hearing Technologies,Berlin,HealthTech,official,https://mimi.io/careers,generic
177,Kaia Health,Munich,Digital Health,official,https://kaiahealth.com/,needs_review
178,Temedica,Munich,Digital Health,official,https://temedica.com/,needs_review
179,ProSiebenSat.1,Munich,Media Tech,official,https://www.prosiebensat1.com/,needs_review
180,Sky Deutschland,Munich,Media Tech,official,https://careers.sky.com/,generic
181,Axel Springer,Berlin / Hamburg,Media Tech,official,https://www.axelspringer.com/de/,needs_review
182,ZEIT Verlagsgruppe,Hamburg,Media / Digital,official,https://www.zeit-verlagsgruppe.de/jobs/,generic
183,Der Spiegel,Hamburg,Media / Digital,official,https://www.spiegel.de,needs_review
184,Gruner + Jahr / RTL,Hamburg,Media Tech,official,,needs_review
185,Hubert Burda Media,Munich,Media Tech,official,https://www.burda.com/de/karriere/,generic
186,Scout24,Munich / Berlin,Marketplace Tech,official,https://www.scout24.com/en/career,generic
187,ImmobilienScout24,Berlin,PropTech,official,,needs_review
188,ImmoScout24,Berlin,PropTech,official,,needs_review
189,McMakler,Berlin,PropTech,official,https://www.mcmakler.de/en/careers,generic
190,Homeday,Berlin,PropTech,official,https://www.homeday.de:443/de/jobs/,generic
191,Spryker,Berlin / Hamburg,Commerce SaaS,official,https://spryker.com/career,generic
192,commercetools,Munich / Berlin,Commerce SaaS,official,https://commercetools.com/careers,generic
193,Shopify Germany,Remote Germany,Commerce SaaS,official,https://www.shopify.com/careers,generic
194,eBay Germany,Berlin / Kleinmachnow,Marketplace Tech,official,,needs_review
195,Kleinanzeigen,Berlin,Marketplace Tech,official,https://de.kleinanzeigen.com/,generic
196,Idealo,Berlin,Comparison Tech,official,https://flights.idealo.com:443/,needs_review
197,CHECK24,Munich / Hamburg / Cologne,Comparison Tech,official,https://jobs.check24.de/de/,generic
198,Verivox,Heidelberg / Berlin,Comparison Tech,official,https://www.verivox.de/?utm_source=verivox.com&utm_medium=referral&utm_campaign=vergleiche.auf.verivox.de/careers,generic
199,HomeToGo,Berlin,TravelTech,official,,needs_review
200,Tourlane,Berlin,TravelTech,official,https://careers.tourlane.com/,generic
201,trivago,Düsseldorf,TravelTech,official,,needs_review
202,Booking.com Germany,Berlin / Munich,TravelTech,official,https://booking-com.com/careers,generic
203,Expedia Group Germany,Berlin / Munich,TravelTech,official,,needs_review
204,Lufthansa Group,Frankfurt / Hamburg,Aviation Tech,official,,needs_review
205,Lufthansa Innovation Hub,Berlin,TravelTech,official,,needs_review
206,Deutsche Bahn,Berlin / Frankfurt,Mobility Tech,official,https://db.jobs/de-de,generic
207,DB Systel,Frankfurt / Berlin,Rail IT,official,,needs_review
208,SIXT,Munich,Mobility Tech,official,https://www.sixt.com/,needs_review
209,Miles & More,Frankfurt,Loyalty Tech,official,,needs_review
210,Fraport,Frankfurt,Airport Tech,official,https://www.fraport.com/de.html,needs_review
211,Munich Airport,Munich,Airport Tech,official,https://www.munich-airport.com/careers-263141,generic
212,Deutsche Bank,Frankfurt / Berlin,Banking Tech,official,https://www.deutsche-bank.de/pk.html,needs_review
213,Commerzbank,Frankfurt,Banking Tech,official,https://www.commerzbank.de/group/careers/,generic
214,ING Germany,Frankfurt / Nuremberg,Banking Tech,official,https://ing.com/careers,generic
215,KfW,Frankfurt,Banking / Digital,official,https://www.kfw.de/kfw.de.html,needs_review
216,DZ Bank,Frankfurt,Banking Tech,official,https://www.dzbank.com,generic
217,DekaBank,Frankfurt,Banking Tech,official,https://www.deka.de/privatkunden/fehler/fehler_404,generic
218,Deutsche Börse,Frankfurt,FinTech / Markets,official,,needs_review
219,Allianz,Munich,Insurance Tech,official,https://www.allianz.com/en.html/careers,generic
220,Allianz Technology,Munich,Insurance IT,official,https://allianztechnology.com/careers,generic
221,Munich Re,Munich,Insurance / Data,official,https://www.munichre.com/en.html,needs_review
222,Hannover Re,Hanover,Insurance Tech,official,https://www.hannover-re.com:443/en/career,generic
223,Talanx,Hanover,Insurance Tech,official,https://www.talanx.com/en,needs_review
224,ERGO Group,Düsseldorf,Insurance Tech,official,https://www.nextinsurance.com/?redirect_from=ergo/careers,generic
225,HUK-COBURG,Coburg,Insurance Tech,official,,needs_review
226,LBBW,Stuttgart,Banking Tech,official,https://www.lbbw.de/startseite/startseite_6kyjj4koh_d.html,needs_review
227,NORD/LB,Hanover,Banking Tech,official,https://www.nordlb.com/career,generic
228,DATEV,Nuremberg,Business Software,official,https://www.datev.com/careers,generic
229,SUSE,Nuremberg / Remote,Open Source,official,https://www.suse.com/careers/,generic
230,Semikron Danfoss,Nuremberg,Power Electronics,official,https://www.semikron-danfoss.com/careers,generic
231,adidas,Herzogenaurach,Retail / Digital,official,,needs_review
232,PUMA,Herzogenaurach,Retail / Digital,official,https://us.puma.com/us/en/careers,generic
233,Zalando Lounge,Berlin,E-commerce Tech,official,https://www.zalando-lounge.com/selectcountry,generic
234,Douglas,Düsseldorf,Retail Tech,official,https://www.douglas.ca/?utm_source=direct&utm_medium=douglas_com/careers,generic
235,C&A,Düsseldorf,Retail / Digital,official,https://www.broadcom.com/company/careers,generic
236,Metro AG,Düsseldorf,Wholesale Tech,official,https://www.paycomonline.net/v4/ats/web.php/portal/E1EA9276FE3A682DD15CD3D2402B9E5E/career-page,generic
237,Henkel,Düsseldorf,Consumer / Digital,official,https://www.henkel.com/careers,generic
238,Vorwerk,Wuppertal,Consumer / Digital,official,https://www.vorwerk.com/,needs_review
239,Miele,Gütersloh,Consumer / IoT,official,https://www.miele.com/en/com/index.htm/careers,generic
240,BSH Hausgeräte,Munich,Consumer / IoT,official,,needs_review
241,Lidl Digital,Neckarsulm / Berlin,Retail Tech,official,https://www.lidl.com/,needs_review
242,Schwarz IT,Neckarsulm,Retail IT,official,https://netfreax.de/,needs_review
243,Kaufland e-commerce,Cologne / Berlin,E-commerce Tech,official,,needs_review
244,dmTECH,Karlsruhe,Retail Tech,official,https://www.dmtech.tech/de/,needs_review
245,Rossmann IT,Burgwedel,Retail Tech,official,,needs_review
246,Hornbach,Bornheim,Retail Tech,official,https://www.hornbach.de/careers,generic
247,MediaMarktSaturn,Ingolstadt / Munich,Retail Tech,official,https://www.ceconomy-mms.com/de/ceconomy,needs_review
248,Ceconomy,Düsseldorf,Retail Tech,official,,needs_review
249,Würth,Künzelsau,B2B / Digital,official,https://wrth.com/careers,generic
250,Festo,Esslingen,Industrial Automation,official,,needs_review
251,Kuehne+Nagel Germany,Hamburg,"Travel, Mobility & Logistics Tech",research_lead,https://www.kuehne-nagel.com/,needs_review
252,Airbus Germany,Hamburg / Munich,"Automotive, Industrial, Robotics & Semiconductors",research_lead,https://www.airbus.com/en/careers,generic
253,GitLab,Germany / remote,Big Tech & Global Technology,research_lead,https://about.gitlab.com/jobs/,generic
254,Datadog,Berlin / remote,Big Tech & Global Technology,research_lead,https://careers.datadoghq.com,generic
255,Snowflake,Berlin / Munich,Big Tech & Global Technology,research_lead,https://www.snowflake.com/en/,needs_review
256,MongoDB,Berlin / remote,Big Tech & Global Technology,research_lead,https://www.mongodb.com/company/careers,generic
257,Elastic,Germany / remote,Big Tech & Global Technology,research_lead,https://www.elastic.com/,needs_review
258,Red Hat,multiple,Big Tech & Global Technology,research_lead,https://www.redhat.com/en/jobs,generic
259,Grafana Labs,Germany / remote,German SaaS & Enterprise Software,research_lead,https://grafana.com/careers/,generic
260,Cloudflare,Germany / remote,Big Tech & Global Technology,research_lead,https://www.cloudflare.com/careers/,generic
261,Amazon,Berlin / Munich / multiple,Big Tech & Global Technology,research_lead,https://amazon.jobs/en/,generic
262,Google,Munich / Berlin / Hamburg,Big Tech & Global Technology,research_lead,https://www.google.com/about/careers/applications/,generic
263,Microsoft,Munich / Berlin,Big Tech & Global Technology,research_lead,https://www.microsoft.com/en-us,needs_review
264,Apple,Munich,Big Tech & Global Technology,research_lead,https://www.apple.com/careers/us/,generic
265,Meta,Berlin / Hamburg / remote,Big Tech & Global Technology,research_lead,https://www.meta.de/de/stellenangebote,generic
266,IBM,multiple,Big Tech & Global Technology,research_lead,https://www.ibm.com/careers,generic
267,Oracle,multiple,Big Tech & Global Technology,research_lead,,needs_review
268,Salesforce,Munich / Berlin,Big Tech & Global Technology,research_lead,https://www.salesforce.com/?bc=DB/careers,generic
269,ServiceNow,Frankfurt / Munich,Big Tech & Global Technology,research_lead,,needs_review
270,Workday,Munich,Big Tech & Global Technology,research_lead,https://www.workday.com/en-us/company/careers/overview.html,generic
271,Atlassian,Germany / remote,Big Tech & Global Technology,research_lead,https://www.atlassian.com/company/careers,generic
272,JetBrains,Munich,Big Tech & Global Technology,research_lead,https://www.jetbrains.com/careers/,generic
273,UiPath,Munich,Big Tech & Global Technology,research_lead,https://www.uipath.com/careers,generic
274,Palantir,Munich,Big Tech & Global Technology,research_lead,https://www.palantir.com/careers,generic
275,OpenAI,Munich,Big Tech & Global Technology,research_lead,https://openai.com/careers/,generic
276,NVIDIA,Munich / Berlin,Big Tech & Global Technology,research_lead,https://www.nvidia.com/en-us/,needs_review
277,Intel,Munich,Big Tech & Global Technology,research_lead,https://www.intel.com/content/www/us/en/homepage.html,needs_review
278,Qualcomm,Munich / Berlin,Big Tech & Global Technology,research_lead,https://www.qualcomm.com/company/careers,generic
279,Vattenfall,Berlin / Hamburg,"Telecom, Public Infrastructure & Research",research_lead,https://careers.vattenfall.com:443/global/?utm_source=corporate&utm_medium=referral,generic
280,Deutsche Börse Group,Frankfurt,"FinTech, Banking & Insurance Tech",research_lead,,needs_review
281,Cisco,multiple,Big Tech & Global Technology,research_lead,https://www.cisco.com/careers/,generic
282,Samsung Electronics,multiple,Big Tech & Global Technology,research_lead,https://samsungelectronics.de/careers,generic
283,Huawei,Munich / Düsseldorf / Nuremberg,Big Tech & Global Technology,research_lead,,needs_review
284,Adobe,Hamburg / Munich,Big Tech & Global Technology,research_lead,https://www.adobe.com/careers.html,generic
285,Dell Technologies,multiple,Big Tech & Global Technology,research_lead,https://www.dell.com/en-us,generic
286,Hewlett Packard Enterprise,multiple,Big Tech & Global Technology,research_lead,,needs_review
287,Dropbox,Hamburg / remote,Big Tech & Global Technology,research_lead,https://www.dropbox.com/,needs_review
288,Twilio,Germany / remote,Big Tech & Global Technology,research_lead,https://www.twilio.com/en-us,needs_review
289,Stripe,Berlin / remote,Big Tech & Global Technology,research_lead,https://stripe.com/careers,generic
290,Anthropic,Munich,Big Tech & Global Technology,research_lead,https://www.anthropic.com/careers,generic
291,Databricks,Munich / Berlin,Big Tech & Global Technology,research_lead,https://www.databricks.com/company/careers,generic
292,Zoom,Germany / remote,Big Tech & Global Technology,research_lead,https://careers.zoom.us/home,generic
293,VMware by Broadcom,Germany,Big Tech & Global Technology,research_lead,https://vmwarebybroadcom.com/careers,generic
294,Akamai,Munich / remote,Big Tech & Global Technology,research_lead,,needs_review
295,Staffbase,Chemnitz / Berlin,German SaaS & Enterprise Software,research_lead,https://staffbase.com/careers,generic
296,Miro,Berlin,German SaaS & Enterprise Software,research_lead,https://miro.com/careers/,generic
297,Mendix,Frankfurt / multiple,German SaaS & Enterprise Software,research_lead,https://www.mendix.com/careers/,generic
298,Signavio,Berlin,German SaaS & Enterprise Software,research_lead,https://jobs.sap.com/search/?createNewAlert=false&q=%23SAPbpicareer&optionsFacetsDD_department&optionsFacetsDD_customfield3&optionsFacetsDD_country&locationsearch&locale=en_US,generic
299,Contentstack,Germany / remote,German SaaS & Enterprise Software,research_lead,https://www.contentstack.com/company/careers,generic
300,Camunda,Berlin / remote,German SaaS & Enterprise Software,research_lead,https://camunda.com/careers/,generic
301,Hygraph,Berlin,German SaaS & Enterprise Software,research_lead,https://hygraph.recruitee.com/,generic
302,Masterplan,Berlin,German SaaS & Enterprise Software,research_lead,https://masterplan.com/teams-und-karriere,generic
303,Pitch,Berlin,German SaaS & Enterprise Software,research_lead,https://pitch.com/jobs,generic
304,Zenjob,Berlin,German SaaS & Enterprise Software,research_lead,https://www.zenjob.com/de/jobs/,generic
305,Choco,Berlin,German SaaS & Enterprise Software,research_lead,https://choco.com/us/careers,generic
306,Honeypot,Berlin,German SaaS & Enterprise Software,research_lead,https://www.honeypot.com/,needs_review
307,Talon.One,Berlin,German SaaS & Enterprise Software,research_lead,,needs_review
308,Parloa,Berlin,German SaaS & Enterprise Software,research_lead,https://www.parloa.com/careers/,generic
309,N8N,Berlin / remote,German SaaS & Enterprise Software,research_lead,,needs_review
310,Aiven,Berlin / remote,German SaaS & Enterprise Software,research_lead,https://www.aiven.com/,needs_review
311,Software AG,Darmstadt,German SaaS & Enterprise Software,research_lead,https://www.software.de/,needs_review
312,USU Software,Möglingen / multiple,German SaaS & Enterprise Software,research_lead,https://www.usu.com/en/careers,generic
313,Canto,Berlin,German SaaS & Enterprise Software,research_lead,https://www.canto.com/careers/,generic
